id,device_id,power_kw,temperature_c,voltage,E_actual,optimal_baseline,is_anomaly,created_at
1,1,3.0066311823653993,40.50815122530312,220.99342830602245,2.9994600215424527,24.5,0,2026-01-01 00:00:00
2,1,3.006569284983525,40.781014833877705,219.72347139765762,3.0046358479003565,24.5,0,2026-01-01 00:01:00
3,1,2.9117946305042492,40.392421397220176,221.2953770762014,2.914427073739538,24.5,0,2026-01-01 00:02:00
4,1,3.105691761098025,41.16516080278628,223.04605971281606,3.152103266394159,24.5,0,2026-01-01 00:03:00
5,1,3.1842433202678015,42.08470232317985,219.53169325055333,3.145609012220861,24.5,0,2026-01-01 00:04:00
6,1,3.0016763772587094,40.55719511519358,219.53172608610163,2.9578585646414672,24.5,0,2026-01-01 00:05:00
7,1,3.3101040565086315,42.139613243449006,223.15842563101478,3.3699495768814596,24.5,0,2026-01-01 00:06:00
8,1,3.2490912610870204,41.01263795009721,221.53486945830582,3.223685455951846,24.5,0,2026-01-01 00:07:00
9,1,3.1095971257788615,40.78321342133615,219.06105122813008,3.043958675205166,24.5,0,2026-01-01 00:08:00
10,1,3.218652776448292,41.955909990390005,221.08512008717193,3.191500795007891,24.5,0,2026-01-01 00:09:00
11,1,3.384484750697371,42.4201648499229,219.0731646143751,3.3645993208629092,24.5,0,2026-01-01 00:10:00
12,1,3.3169799203841435,42.25901477092051,219.06854049285948,3.3910813848952466,24.5,0,2026-01-01 00:11:00
13,1,3.2846532164237368,40.867683538903016,220.48392454313208,3.3269553071874847,24.5,0,2026-01-01 00:12:00
14,1,3.215198628797862,41.38205385354889,216.1734395106844,3.268397617077962,24.5,0,2026-01-01 00:13:00
15,1,3.271309894061438,42.271826266420554,216.55016433497394,3.3077319467152315,24.5,0,2026-01-01 00:14:00
16,1,3.2664928394687225,41.73861280607256,218.87542494151805,3.308908956758016,24.5,0,2026-01-01 00:15:00
17,1,3.1124166400009465,40.80396751236996,217.97433775933115,3.073036648817335,24.5,0,2026-01-01 00:16:00
